N(MN0:GM),N(MN0:VTH),N(MN0:CGD),N(MN0:CGS),N(MN0:GDS),I(VD),VG
3.53511712e-11,6.73619189e-01,-2.31049147e-16,-3.74425752e-16,1.00486042e-12,-1.94462168e-12,4.70000000e-02
3.62998962e-11,6.73619189e-01,-2.31114712e-16,-3.74786594e-16,1.03182857e-12,-1.98044512e-12,4.80000000e-02
3.72740758e-11,6.73619189e-01,-2.31180508e-16,-3.75146344e-16,1.05952031e-12,-2.01722996e-12,4.90000000e-02
3.82743927e-11,6.73619189e-01,-2.31246535e-16,-3.75504995e-16,1.08795504e-12,-2.05500199e-12,5.00000000e-02
3.93015480e-11,6.73619189e-01,-2.31312795e-16,-3.75862540e-16,1.11715269e-12,-2.09378769e-12,5.10000000e-02
4.03562613e-11,6.73619189e-01,-2.31379288e-16,-3.76218969e-16,1.14713372e-12,-2.13361427e-12,5.20000000e-02
4.14392719e-11,6.73619189e-01,-2.31446017e-16,-3.76574278e-16,1.17791915e-12,-2.17450964e-12,5.30000000e-02
4.25513385e-11,6.73619189e-01,-2.31512981e-16,-3.76928457e-16,1.20953055e-12,-2.21650250e-12,5.40000000e-02
4.36932403e-11,6.73619189e-01,-2.31580183e-16,-3.77281501e-16,1.24199007e-12,-2.25962227e-12,5.50000000e-02
4.48657776e-11,6.73619189e-01,-2.31647623e-16,-3.77633403e-16,1.27532046e-12,-2.30389919e-12,5.60000000e-02
4.60697719e-11,6.73619189e-01,-2.31715302e-16,-3.77984155e-16,1.30954507e-12,-2.34936431e-12,5.70000000e-02
4.73060667e-11,6.73619189e-01,-2.31783222e-16,-3.78333751e-16,1.34468788e-12,-2.39604950e-12,5.80000000e-02
4.85755282e-11,6.73619189e-01,-2.31851384e-16,-3.78682186e-16,1.38077352e-12,-2.44398750e-12,5.90000000e-02
4.98790459e-11,6.73619189e-01,-2.31919789e-16,-3.79029452e-16,1.41782727e-12,-2.49321191e-12,6.00000000e-02
5.12175329e-11,6.73619189e-01,-2.31988438e-16,-3.79375543e-16,1.45587509e-12,-2.54375724e-12,6.10000000e-02
5.25919269e-11,6.73619189e-01,-2.32057332e-16,-3.79720454e-16,1.49494364e-12,-2.59565894e-12,6.20000000e-02
5.40031908e-11,6.73619189e-01,-2.32126473e-16,-3.80064179e-16,1.53506030e-12,-2.64895339e-12,6.30000000e-02
5.54523133e-11,6.73619189e-01,-2.32195862e-16,-3.80406712e-16,1.57625316e-12,-2.70367794e-12,6.40000000e-02
5.69403094e-11,6.73619189e-01,-2.32265500e-16,-3.80748048e-16,1.61855109e-12,-2.75987097e-12,6.50000000e-02
5.84682214e-11,6.73619189e-01,-2.32335388e-16,-3.81088181e-16,1.66198372e-12,-2.81757187e-12,6.60000000e-02
6.00371196e-11,6.73619189e-01,-2.32405527e-16,-3.81427106e-16,1.70658148e-12,-2.87682108e-12,6.70000000e-02
6.16481030e-11,6.73619189e-01,-2.32475919e-16,-3.81764819e-16,1.75237559e-12,-2.93766013e-12,6.80000000e-02
6.33022999e-11,6.73619189e-01,-2.32546565e-16,-3.82101313e-16,1.79939816e-12,-3.00013169e-12,6.90000000e-02
6.50008689e-11,6.73619189e-01,-2.32617466e-16,-3.82436585e-16,1.84768210e-12,-3.06427952e-12,7.00000000e-02
6.67449996e-11,6.73619189e-01,-2.32688623e-16,-3.82770629e-16,1.89726124e-12,-3.13014861e-12,7.10000000e-02
6.85359136e-11,6.73619189e-01,-2.32760038e-16,-3.83103442e-16,1.94817032e-12,-3.19778512e-12,7.20000000e-02
7.03748651e-11,6.73619189e-01,-2.32831713e-16,-3.83435019e-16,2.00044498e-12,-3.26723645e-12,7.30000000e-02
7.22631419e-11,6.73619189e-01,-2.32903647e-16,-3.83765355e-16,2.05412184e-12,-3.33855129e-12,7.40000000e-02
7.42020664e-11,6.73619189e-01,-2.32975842e-16,-3.84094447e-16,2.10923849e-12,-3.41177962e-12,7.50000000e-02
7.61929963e-11,6.73619189e-01,-2.33048301e-16,-3.84422291e-16,2.16583352e-12,-3.48697276e-12,7.60000000e-02
7.82373258e-11,6.73619189e-01,-2.33121023e-16,-3.84748883e-16,2.22394659e-12,-3.56418341e-12,7.70000000e-02
